Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4,symptom,Description,Doctor
Dori allergiyasi,Tirnashni kamaytirish,eng yaqin shifoxonaga murojaat qilish,dori qabul qilishni to'xtatish,," stomach_pain,  skin_rash,  burning_micturition, itching,  spotting_ urination",An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,Immunolog
Bezgak,Yaqin shifoxonaga murojaat qilish,yog'li ovqatlardan saqlanish,sabzavotli bo'lmagan ovqatlardan saqlanish,chivinlarni uzoqroq tutish," headache,  high_fever,  sweating,  chills,  muscle_pain,  vomiting,  diarrhoea,  nausea",An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,Yuqumli kasalliklar bo'yicha mutaxassis
Allergiya,kalaminni qo'llash,ta'sirlangan joyni bandaj bilan yopish,,qichishishni kamaytirish uchun muzdan foydalanish," watering_from_eyes,  chills,  shivering,  continuous_sneezing","An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",Immunolog
Gipotiroidizm,stressni kamaytirish,mashq qilish,sog'lom ovqatlanish,to'g'ri uxlash," cold_hands_and_feets,  dizziness,  weight_gain,  abnormal_menstruation,  lethargy,  swollen_extremeties,  mood_swings,  enlarged_thyroid,  fatigue,  brittle_nails,  puffy_face_and_eyes,  irritability,  depression","Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",Endokrinolog
Psoriaz,qo'llarni iliq suv bilan yuvish,bosim yordamida qon ketishini to'xtatish,shifokor bilan maslahatlashish,tuzli vannalar," joint_pain,  silver_like_dusting,  skin_rash,  inflammatory_nails,  small_dents_in_nails,  skin_peeling","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",Dermatolog
GERD,yog'li ovqatlardan saqlanish,ovqatdan keyin yotishdan saqlanish,sog'lom vaznni saqlash,mashq qilish," stomach_pain,  chest_pain,  cough,  ulcers_on_tongue,  acidity,  vomiting","Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",Gastroenterolog
Surunkali xolestaz,sovuq vannalar,qichishishga qarshi dori qabul qilish,shifokor bilan maslahatlashish,sog'lom ovqatlanish," yellowing_of_eyes,  yellowish_skin,  abdominal_pain,  loss_of_appetite, itching,  vomiting,  nausea","Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",Gastroenterolog
Gepatit A,Yaqin shifoxonaga murojaat qilish,qo'llarni yuvish,yog'li ovqatlardan saqlanish,dori," dark_urine,  joint_pain,  yellowing_of_eyes,  muscle_pain,  yellowish_skin,  abdominal_pain,  mild_fever,  loss_of_appetite,  vomiting,  diarrhoea,  nausea",Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,Yuqumli kasalliklar bo'yicha mutaxassis
Osteoartrit,asetaminofen,eng yaqin shifoxonaga murojaat qilish,kuzatish,tuzli vannalar," knee_pain,  painful_walking,  neck_pain,  joint_pain,  hip_joint_pain,  swelling_joints","Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.",Revmatolog
Paroymsal pozitsion vertigo,bir oz yonboshlashish,tanadagi keskin o'zgarishlardan saqlanish,boshning keskin harakatlanishidan saqlanish,dam olish," headache,  loss_of_balance,  unsteadiness,  vomiting,  nausea,  spinning_movements",Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,Otaralingolog
